seq_no,meter_id,equipment_disagg_start,equipment_disagg_end,equipment_type,equipment_detected,direction,meter_consumption,equipment_consumption,uom
1,8134979,1722470400,1725061500,EV,y,1,6463.972,79.97316724890793,kwh
2,8134979,1722470400,1725061500,AC,y,1,6463.972,1229.0463017547352,kwh
3,8134979,1722470400,1725061500,PV,n,-1,6463.972,0.0,kwh
4,8134979,1722470400,1725061500,other,y,1,6463.972,5154.95253019042,kwh
5,7310673,1722470400,1725061500,EV,y,1,4499.116,62.16915223699658,kwh
6,7310673,1722470400,1725061500,AC,y,1,4499.116,954.8099202813852,kwh
7,7310673,1722470400,1725061500,PV,n,-1,4499.116,0.0,kwh
8,7310673,1722470400,1725061500,other,y,1,4499.116,3482.1369253438315,kwh
9,8390515,1722470400,1725061500,EV,y,1,13057.472,87.1761759336833,kwh
10,8390515,1722470400,1725061500,AC,y,1,13057.472,1449.1914547155702,kwh
11,8390515,1722470400,1725061500,PV,n,-1,13057.472,0.0,kwh
12,8390515,1722470400,1725061500,other,y,1,13057.472,11521.104370002582,kwh
13,12087526,1722470400,1725061500,EV,y,1,5016.392,65.33718195296454,kwh
14,12087526,1722470400,1725061500,AC,y,1,5016.392,1021.3055774893764,kwh
15,12087526,1722470400,1725061500,PV,n,-1,5016.392,0.0,kwh
16,12087526,1722470400,1725061500,other,y,1,5016.392,3929.7492397044057,kwh
17,9811188,1722470400,1725061500,EV,y,1,3431.056,45.72562394378739,kwh
18,9811188,1722470400,1725061500,AC,y,1,3431.056,767.2834619688826,kwh
19,9811188,1722470400,1725061500,PV,n,-1,3431.056,0.0,kwh
20,9811188,1722470400,1725061500,other,y,1,3431.056,2618.0469122069226,kwh
21,7367130,1722470400,1725061500,EV,y,1,5228.916,66.19440446833099,kwh
22,7367130,1722470400,1725061500,AC,y,1,5228.916,1081.0847455969213,kwh
23,7367130,1722470400,1725061500,PV,n,-1,5228.916,0.0,kwh
24,7367130,1722470400,1725061500,other,y,1,5228.916,4081.63684808466,kwh
25,8383744,1722470400,1725061500,EV,y,1,3397.82,49.42908953435454,kwh
26,8383744,1722470400,1725061500,AC,y,1,3397.82,839.8064503263853,kwh
27,8383744,1722470400,1725061500,PV,n,-1,3397.82,0.0,kwh
28,8383744,1722470400,1725061500,other,y,1,3397.82,2508.584458298615,kwh
29,8542389,1722470400,1725061500,EV,y,1,5494.164,67.52828891878035,kwh
30,8542389,1722470400,1725061500,AC,y,1,5494.164,1131.0565299103312,kwh
31,8542389,1722470400,1725061500,PV,n,-1,5494.164,0.0,kwh
32,8542389,1722470400,1725061500,other,y,1,5494.164,4295.579180456233,kwh
33,8006288,1722470400,1725061500,EV,y,1,3746.38,52.68213811054218,kwh
34,8006288,1722470400,1725061500,AC,y,1,3746.38,909.4083033996748,kwh
35,8006288,1722470400,1725061500,PV,n,-1,3746.38,0.0,kwh
36,8006288,1722470400,1725061500,other,y,1,3746.38,2784.2895563495863,kwh
