custid,meter_id,equipment_disagg_start,equipment_disagg_end,equipment_type,equipment_detected,direction,meter_consumption,equipment_consumption,uom,interval_count
10899486,0000033f9d7f7589c0ef991d8dad5a8523ab03e0_AMI,1743465600,1745971200,EV,n,1,228.719,0.0,kwh,95
10899486,0000033f9d7f7589c0ef991d8dad5a8523ab03e0_AMI,1743465600,1745971200,AC,n,1,228.719,0.0,kwh,95
10899486,0000033f9d7f7589c0ef991d8dad5a8523ab03e0_AMI,1743465600,1745971200,PV,n,-1,228.719,0.0,kwh,95
10899486,0000033f9d7f7589c0ef991d8dad5a8523ab03e0_AMI,1743465600,1745971200,other,y,1,228.719,228.719,kwh,95
15505776,0000087c3caf57796586bbdcb419333119159ee5_AMI,1743465600,1745971200,EV,n,1,347.467,0.0,kwh,145
15505776,0000087c3caf57796586bbdcb419333119159ee5_AMI,1743465600,1745971200,AC,n,1,347.467,0.0,kwh,145
15505776,0000087c3caf57796586bbdcb419333119159ee5_AMI,1743465600,1745971200,PV,n,-1,347.467,0.0,kwh,145
15505776,0000087c3caf57796586bbdcb419333119159ee5_AMI,1743465600,1745971200,other,y,1,347.467,347.467,kwh,145
15298123,00000d65223232ac6073645a30491b446a22e233_AMI,1743465600,1745971200,EV,y,1,222.656,9.994271368697285,kwh,95
15298123,00000d65223232ac6073645a30491b446a22e233_AMI,1743465600,1745971200,AC,n,1,222.656,0.0,kwh,95
15298123,00000d65223232ac6073645a30491b446a22e233_AMI,1743465600,1745971200,PV,n,-1,222.656,0.0,kwh,95
15298123,00000d65223232ac6073645a30491b446a22e233_AMI,1743465600,1745971200,other,y,1,222.656,212.6617286313027,kwh,95
7356955,00000ddd1877f10212bb2af88dfa75bead7df3cd_AMI,1743465600,1745971200,EV,n,1,996.319,0.0,kwh,95
7356955,00000ddd1877f10212bb2af88dfa75bead7df3cd_AMI,1743465600,1745971200,AC,n,1,996.319,0.0,kwh,95
7356955,00000ddd1877f10212bb2af88dfa75bead7df3cd_AMI,1743465600,1745971200,PV,n,-1,996.319,0.0,kwh,95
7356955,00000ddd1877f10212bb2af88dfa75bead7df3cd_AMI,1743465600,1745971200,other,y,1,996.319,996.319,kwh,95
