seq_no,meter_id,meter_disagg_start,meter_disagg_end,usage_interval_duration
1,000059e78bc3f8b27fbf31cf7a33501da4d961ec_AMI,1722470400,1725061500,15 minute
2,000082ac69b44743692402019ee2903356a50ddf_AMI,1722470400,1725061500,15 minute
3,000100ff04352f8731272f9ca5f7c43df3defa92_AMI,1722470400,1725061500,15 minute
4,0001044af8c88871641e35dc281c884dd7d22395_AMI,1722470400,1725061500,15 minute
5,0001285b204afe7f84d52f55d32241305b7f3e93_AMI,1722470400,1725061500,15 minute
6,000188e8314ced9f5fab90e27a44d37f93fdbc8b_AMI,1722470400,1725061500,15 minute
7,000224ba50a04b52896bdd2c3eef616a30ee5e2e_AMI,1722470400,1725061500,15 minute
8,00026deda6f8a23cda41d88527000d13a867ef2f_AMI,1722470400,1725061500,15 minute
9,00027c7b480ef7812586aad6259bcc4d60f4511d_AMI,1722470400,1725061500,15 minute
10,0002aec2b49e9877adf09f69ebb9c53f00ff2c42_AMI,1722470400,1725061500,15 minute
11,000382a937aa03befae961f75f06e063b65cd6a3_AMI,1722470400,1725061500,15 minute
12,0003b2bb9cac10fb78c62781c3b66605034890bb_AMI,1722470400,1725061500,15 minute
13,000473f9dc22686dd63802cb53b766591a3aa65a_AMI,1722470400,1725061500,15 minute
14,0004946a9b175c76f9a90bfcf93b10cf6a7de612_AMI,1722470400,1725061500,15 minute
15,000503d9bebdf6eea8d15b52dfff25dc0ecd2f70_AMI,1722470400,1725061500,15 minute
16,0005f9c9d43575852b13216cb6675b2153e96fbf_AMI,1722470400,1725061500,15 minute
17,000603b068d8c5cc89195ec061b353650352c21b_AMI,1722470400,1725061500,15 minute
18,000665d6ae94ff9e84f4cf28eedf03450c13a109_AMI,1722470400,1725061500,15 minute
19,00067a2eaac685992471410b3d30f6d080e7d03d_AMI,1722470400,1725061500,15 minute
20,00069805a882e9a45b3dbc1084e0aeeb4cb3787b_AMI,1722470400,1725061500,15 minute
21,0006a6f9d290dfb38086bd67beb629582d2101c1_AMI,1722470400,1725061500,15 minute
22,0007a1922dd7e93d5ee2b0d2c6b33db29ea78c73_AMI,1722470400,1725061500,15 minute
23,0007a7a41380a92744cfc3adefc59ca02b65b787_AMI,1722470400,1725061500,15 minute
24,0007e1385988d22dc278d846181092927a921d00_AMI,1722470400,1725061500,15 minute
25,00082b2ec780a5118424a6f7f8843fc1a2312ad1_AMI,1722470400,1725061500,15 minute
